,close,date,high,low,open,quoteVolume,volume,weightedAverage,True Date,Year,MA10,MA20,EMA10,EMA20,EMA Go Long or Short,EMA entry and exit
19,240.25,1424505600,240.25,240.25,240.25,0.0,0.0,240.25,2015-02-21 08:00:00,2015,240.25,240.662505784,240.4124931166074,240.5770932791733,SHORT,False
20,240.25,1424512800,240.25,240.25,240.25,0.0,0.0,240.25,2015-02-21 10:00:00,2015,240.25,241.425005784,240.38250552149046,240.54160315466058,SHORT,True
21,240.25,1424520000,240.25,240.25,240.25,0.0,0.0,240.25,2015-02-21 12:00:00,2015,240.25,241.237505784,240.35811858721277,240.51037791752,SHORT,True
22,240.25,1424527200,240.25,240.25,240.25,0.0,0.0,240.25,2015-02-21 14:00:00,2015,240.25,241.050005784,240.33826414365737,240.482822660357,SHORT,True
23,240.25,1424534400,240.25,240.25,240.25,0.0,0.0,240.25,2015-02-21 16:00:00,2015,240.25,240.862505784,240.3220850941616,240.4584417094874,SHORT,True
24,245.0,1424541600,245.0,245.0,245.0,0.06009077,14.72223865,245.0,2015-02-21 18:00:00,2015,240.725,240.912505784,241.1782882027535,240.92956240896228,LONG,False
25,245.0,1424548800,245.0,245.0,245.0,0.0,0.0,245.0,2015-02-21 20:00:00,2015,241.2,240.962505784,241.87693238300636,241.34825340388568,LONG,True
26,245.0,1424556000,245.0,245.0,245.0,0.0,0.0,245.0,2015-02-21 22:00:00,2015,241.675,241.2,242.44729270760806,241.72103540940284,LONG,True
27,245.0,1424563200,245.0,245.0,245.0,0.0102,2.499,245.0,2015-02-22 00:00:00,2015,242.15,241.2,242.91311179526824,242.05348696388484,LONG,True
28,249.0,1424570400,249.0,249.0,249.0,0.01001607,2.49400143,249.0,2015-02-22 02:00:00,2015,243.025,241.6375,244.02311460329776,242.75348253693602,LONG,True
29,249.0,1424577600,249.0,249.0,249.0,0.0,0.0,249.0,2015-02-22 04:00:00,2015,243.9,242.075,244.93020652454473,243.37947747937784,LONG,True
30,249.0,1424584800,249.0,249.0,249.0,0.0,0.0,249.0,2015-02-22 06:00:00,2015,244.775,242.5125,245.67164270599775,243.9399488888205,LONG,True
31,245.0,1424592000,245.0,245.0,245.0,0.01819196,4.4570302,245.0,2015-02-22 08:00:00,2015,245.25,242.75,245.5493269310958,244.04518432490178,LONG,True
32,245.0,1424599200,245.0,245.0,245.0,0.0,0.0,245.0,2015-02-22 10:00:00,2015,245.725,242.9875,245.44931623404335,244.13959161415008,LONG,True
33,245.0,1424606400,245.0,245.0,245.0,0.0,0.0,245.0,2015-02-22 12:00:00,2015,246.2,243.225,245.3675333391812,244.2243561229874,LONG,True
34,244.0,1424613600,245.00001722,244.0,245.00001722,0.20900653,51.03221976,244.1656716,2015-02-22 14:00:00,2015,246.1,243.4125,245.11866924429845,244.20232554789465,LONG,True
35,244.0,1424620800,244.0,244.0,244.0,0.0,0.0,244.0,2015-02-22 16:00:00,2015,246.0,243.6,244.91512649930917,244.18251682375856,LONG,True
36,235.5,1424628000,235.50000711,235.5,235.50000711,0.20695862,48.73875501,235.5,2015-02-22 18:00:00,2015,245.05,243.3625,243.20226398781915,243.3347144204321,SHORT,False
37,235.001,1424635200,235.001,235.001,235.001,0.00416202,0.97807886,235.001,2015-02-22 20:00:00,2015,244.05010000000001,243.10005,241.71039726200743,242.52292446796625,SHORT,True
38,235.0,1424642400,235.001,235.0,235.00000472,0.08051979,18.92216258,235.00014822,2015-02-22 22:00:00,2015,242.6501,242.83755000000002,240.48983783839003,241.79170223360904,SHORT,True
39,235.001,1424649600,235.001,235.0,235.00000236,0.19435177,45.6726909,235.00012841,2015-02-23 00:00:00,2015,241.25020000000004,242.57510000000002,239.49154129609204,241.13294330888434,SHORT,True
40,235.0,1424656800,235.00001888,235.0,235.00001888,0.20457834,48.07591027,235.00000183,2015-02-23 02:00:00,2015,239.85020000000003,242.31260000000003,238.67467915532407,240.53904460092082,SHORT,True
41,235.0,1424664000,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-23 04:00:00,2015,238.85020000000003,242.05010000000001,238.0064095745238,240.0035140542595,SHORT,True
42,235.00002596,1424671200,235.00002596,235.00002596,235.00002596,0.00017756,0.0417266,235.00002596,2015-02-23 06:00:00,2015,237.85020259600006,241.78760129800003,237.4596965802181,239.52046051772243,SHORT,True
43,235.00002596,1424678400,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596,2015-02-23 08:00:00,2015,236.85020519200006,241.52510259600004,237.01241828106845,239.08461148814013,SHORT,True
44,235.00002596,1424685600,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596,2015-02-23 10:00:00,2015,235.95020778800009,241.02510389400004,236.64648495100352,238.69124987054806,SHORT,True
45,235.00002596,1424692800,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596,2015-02-23 12:00:00,2015,235.05021038400008,240.52510519200004,236.34709944010297,238.33614899761295,SHORT,True
46,235.00002596,1424700000,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596,2015-02-23 14:00:00,2015,235.0002129800001,240.02510649000004,236.1021573553395,238.0155181845821,SHORT,True
47,235.00002596,1424707200,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596,2015-02-23 16:00:00,2015,235.0001155760001,239.52510778800007,235.90175668602836,237.72595494403987,SHORT,True
48,235.00002596,1424714400,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596,2015-02-23 18:00:00,2015,235.0001181720001,238.82510908600005,235.73779684703527,237.464402939786,SHORT,True
49,235.00002596,1424721600,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596,2015-02-23 20:00:00,2015,235.0000207680001,238.12511038400007,235.6036507963825,237.2281149038804,SHORT,True
50,235.0,1424728800,235.0,235.0,235.0,0.01181802,2.7772347,235.0,2015-02-23 22:00:00,2015,235.0000207680001,237.42511038400008,235.49389216355831,237.014617372633,SHORT,True
51,235.0,1424736000,235.0,235.0,235.0,0.00399473,0.93876155,235.0,2015-02-24 00:00:00,2015,235.0000207680001,236.92511038400008,235.4040909491612,236.82168936051042,SHORT,True
52,235.0,1424743200,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-24 02:00:00,2015,235.0000181720001,236.42511038400008,235.33061810077618,236.647328639052,SHORT,True
53,235.0,1424750400,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-24 04:00:00,2015,235.00001557600007,235.92511038400008,235.27050453614845,236.48973159814045,SHORT,True
54,235.0,1424757600,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-24 06:00:00,2015,235.00001298000006,235.47511038400006,235.221321101515,236.34727286833464,SHORT,True
55,235.0,1424764800,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-24 08:00:00,2015,235.00001038400006,235.02511038400007,235.18108037126376,236.21848715513494,SHORT,True
56,235.0,1424772000,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-24 10:00:00,2015,235.00000778800003,235.00011038400007,235.14815631262235,236.10205302373234,SHORT,True
