,close,date,high,low,open,quoteVolume,volume,weightedAverage,True Date,Year,MA10,MA50,EMA10,EMA50,Go Long or Short,SMA entry and exit
49,235.00002596,1424721600,235.00002596,235.00002596,235.00002596,0.0,0.0,235.00002596,2015-02-23 20:00:00,2015,235.0000207680001,240.2950464672,235.6036507963825,239.12793579600617,SHORT,False
50,235.0,1424728800,235.0,235.0,235.0,0.01181802,2.7772347,235.0,2015-02-23 22:00:00,2015,235.0000207680001,240.4950464672,235.49389216355831,238.94186844449413,SHORT,True
51,235.0,1424736000,235.0,235.0,235.0,0.00399473,0.93876155,235.0,2015-02-24 00:00:00,2015,235.0000207680001,240.3150464672,235.4040909491612,238.76522315573573,SHORT,True
52,235.0,1424743200,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-24 02:00:00,2015,235.0000181720001,240.1350464672,235.33061810077618,238.59743290178398,SHORT,True
53,235.0,1424750400,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-24 04:00:00,2015,235.00001557600007,239.95504646720002,235.27050453614845,238.43797262246474,SHORT,True
54,235.0,1424757600,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-24 06:00:00,2015,235.00001298000006,239.7750464672,235.221321101515,238.28635543141255,SHORT,True
55,235.0,1424764800,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-24 08:00:00,2015,235.00001038400006,239.5950464672,235.18108037126376,238.142129228107,SHORT,True
56,235.0,1424772000,235.0,235.0,235.0,0.0,0.0,235.0,2015-02-24 10:00:00,2015,235.00000778800003,239.4900441536,235.14815631262235,238.0048736660345,SHORT,True
57,238.00003776,1424779200,238.00003776,238.00003776,238.00003776,0.0704908,16.77681306,238.00003776,2015-02-24 12:00:00,2015,235.30000896800001,239.35004490880002,235.6666847836844,238.0046633616925,SHORT,True
58,238.00003776,1424786400,238.00003776,238.00003776,238.00003776,0.0,0.0,238.00003776,2015-02-24 14:00:00,2015,235.600010148,239.30504566400003,236.09093383965356,238.00446305886135,SHORT,True
59,238.00003776,1424793600,238.00003776,238.00003776,238.00003776,0.0,0.0,238.00003776,2015-02-24 16:00:00,2015,235.90001132799998,239.26004641920005,236.43804569196107,238.00427220983744,SHORT,True
60,238.00003776,1424800800,238.00003776,238.00003776,238.00003776,0.55216987,131.4164499,238.00003776,2015-02-24 18:00:00,2015,236.200015104,239.21504717440007,236.72204562116536,238.00409030298337,SHORT,True
61,238.00003776,1424808000,238.00003776,238.00003776,238.00003776,0.0,0.0,238.00003776,2015-02-24 20:00:00,2015,236.50001887999997,239.1700479296001,236.954408746255,238.0039168598444,SHORT,True
62,239.75,1424815200,239.75,239.75,239.75,9.33e-05,0.02236867,239.75,2015-02-24 22:00:00,2015,236.97501887999996,239.16004792960007,237.46269970816977,238.07837996763573,SHORT,True
63,239.75,1424822400,239.75,239.75,239.75,0.0,0.0,239.75,2015-02-25 00:00:00,2015,237.45001887999996,239.15004792960008,237.87857358839543,238.1494238484165,SHORT,True
64,239.75,1424829600,239.75,239.75,239.75,0.0,0.0,239.75,2015-02-25 02:00:00,2015,237.92501887999998,239.1400479296001,238.21883367225104,238.21722567933773,SHORT,True
65,239.75,1424836800,239.75,239.75,239.75,0.0,0.0,239.75,2015-02-25 04:00:00,2015,238.40001887999998,239.13004792960007,238.49722804291227,238.281951787509,SHORT,True
66,239.75,1424844000,239.75,239.75,239.75,0.0,0.0,239.75,2015-02-25 06:00:00,2015,238.87501887999997,239.12004792960008,238.7250050923328,238.34375845109946,SHORT,True
67,239.75,1424851200,239.75,239.75,239.75,0.0,0.0,239.75,2015-02-25 08:00:00,2015,239.05001510399998,239.11004792960009,238.91136802369326,238.40279263010896,SHORT,True
68,237.75,1424858400,239.75,237.75,239.75,0.92755033,221.58409525,238.89172165,2015-02-25 10:00:00,2015,239.02501132799998,239.06004792960007,238.70020999644342,238.37546387013862,SHORT,True
69,237.75,1424865600,237.75,237.75,237.75,0.0,0.0,237.75,2015-02-25 12:00:00,2015,239.000007552,239.0100479296001,238.5274444054738,238.34934838378717,SHORT,True
70,237.75,1424872800,237.75,237.75,237.75,0.0,0.0,237.75,2015-02-25 14:00:00,2015,238.975003776,238.96004792960008,238.38609078544775,238.3243866733189,LONG,False
71,237.75,1424880000,237.75,237.75,237.75,0.0,0.0,237.75,2015-02-25 16:00:00,2015,238.95,238.91004792960007,238.2704378539415,238.30052261703005,LONG,True
72,237.75,1424887200,237.75,237.75,237.75,0.0,0.0,237.75,2015-02-25 18:00:00,2015,238.75,238.86004792960009,238.1758127484694,238.27770324088323,SHORT,False
